iter	Passed	Remaining
0	56	56593
1	56	28418
2	57	19042
3	57	14341
4	57	11523
5	58	9646
6	58	8308
7	58	7293
8	59	6505
9	59	5874
10	59	5357
11	59	4932
12	60	4570
13	60	4260
14	60	3990
15	61	3752
16	61	3542
17	61	3357
18	61	3190
19	62	3040
20	62	2905
21	62	2780
22	62	2668
23	63	2563
24	63	2469
25	63	2380
26	63	2299
27	64	2223
28	64	2152
29	64	2087
30	64	2025
31	65	1967
32	65	1913
33	65	1863
34	65	1815
35	66	1770
36	66	1728
37	66	1687
38	66	1648
39	67	1611
40	67	1575
41	67	1542
42	67	1510
43	68	1479
44	68	1452
45	68	1426
46	69	1400
47	69	1375
48	69	1351
49	69	1327
50	70	1305
51	70	1283
52	70	1262
53	70	1241
54	71	1221
55	71	1203
56	71	1184
57	71	1167
58	72	1150
59	72	1134
60	72	1118
61	72	1103
62	73	1089
63	73	1075
64	73	1061
65	74	1048
66	74	1036
67	74	1020
68	74	1009
69	75	997
70	75	985
71	75	974
72	75	963
73	76	952
74	76	941
75	76	931
76	76	921
77	77	912
78	77	902
79	77	893
80	77	884
81	78	875
82	78	867
83	78	858
84	78	848
85	79	840
86	79	831
87	79	823
88	79	815
89	79	808
90	80	800
91	80	793
92	80	786
93	80	779
94	81	772
95	81	766
96	81	760
97	81	754
98	82	748
99	82	741
100	82	736
101	82	728
102	83	723
103	83	717
104	83	711
105	83	707
106	84	702
107	84	697
108	84	692
109	85	688
110	85	682
111	85	677
112	85	672
113	85	667
114	86	663
115	86	658
116	86	653
117	86	648
118	86	643
119	87	639
120	87	635
121	87	630
122	87	625
123	87	621
124	88	617
125	88	613
126	88	609
127	88	605
128	89	601
129	89	598
130	89	595
131	89	591
132	90	588
133	90	584
134	90	581
135	90	578
136	91	574
137	91	570
138	91	567
139	91	564
140	92	561
141	92	558
142	92	555
143	92	552
144	93	549
145	93	546
146	93	543
147	93	540
148	94	537
149	94	534
150	94	532
151	94	529
152	95	527
153	95	524
154	95	521
155	95	519
156	96	516
157	96	514
158	96	511
159	96	509
160	97	506
161	97	504
162	97	502
163	97	499
164	98	497
165	98	494
166	98	492
167	98	489
168	99	487
169	99	485
170	99	483
171	99	481
172	100	479
173	100	476
174	100	474
175	100	472
176	101	470
177	101	468
178	101	466
179	101	464
180	101	461
181	102	459
182	102	457
183	102	455
184	102	453
185	103	451
186	103	449
187	103	447
188	103	445
189	104	443
190	104	442
191	104	440
192	104	438
193	105	436
194	105	435
195	105	433
196	105	431
197	106	430
198	106	428
199	106	426
200	106	424
201	107	423
202	107	421
203	107	419
204	107	418
205	108	416
206	108	415
207	108	413
208	108	411
209	109	410
210	109	408
211	109	407
212	109	405
213	109	404
214	110	402
215	110	401
216	110	399
217	110	398
218	111	396
219	111	395
220	111	393
221	111	392
222	112	390
223	112	389
224	112	388
225	112	386
226	113	385
227	113	383
228	113	382
229	113	381
230	114	379
231	114	378
232	114	377
233	114	375
234	115	374
235	115	373
236	115	372
237	115	370
238	116	369
239	116	368
240	116	366
241	116	365
242	116	364
243	117	363
244	117	362
245	117	360
246	118	360
247	118	358
248	118	357
249	118	356
250	119	355
251	119	354
252	119	353
253	120	352
254	120	351
255	120	350
256	120	349
257	121	348
258	121	347
259	121	346
260	121	345
261	122	344
262	122	342
263	122	341
264	122	340
265	123	339
266	123	338
267	123	337
268	123	336
269	124	335
270	124	334
271	124	333
272	124	332
273	125	331
274	125	330
275	125	329
276	125	328
277	126	327
278	126	326
279	126	325
280	126	324
281	127	323
282	127	323
283	127	322
284	128	321
285	128	320
286	128	319
287	128	318
288	129	317
289	129	317
290	129	316
291	130	315
292	130	314
293	130	313
294	130	312
295	131	311
296	131	311
297	131	310
298	131	309
299	132	308
300	132	307
301	132	306
302	132	305
303	133	304
304	133	303
305	133	303
306	133	302
307	134	301
308	134	300
309	134	299
310	134	298
311	135	298
312	135	297
313	135	296
314	135	295
315	136	294
316	136	293
317	136	293
318	136	292
319	137	291
320	137	290
321	137	289
322	137	289
323	138	288
324	138	287
325	138	286
326	138	286
327	139	285
328	139	284
329	139	283
330	139	282
331	140	282
332	140	281
333	140	280
334	140	279
335	141	278
336	141	278
337	141	277
338	141	276
339	142	275
340	142	275
341	142	274
342	142	273
343	143	272
344	143	272
345	143	271
346	143	270
347	144	269
348	144	269
349	144	268
350	144	267
351	145	266
352	145	266
353	145	265
354	145	264
355	145	263
356	146	263
357	146	262
358	146	261
359	146	261
360	147	260
361	147	260
362	147	259
363	148	258
364	148	258
365	148	257
366	148	256
367	149	255
368	149	255
369	149	254
370	149	253
371	149	253
372	150	252
373	150	251
374	150	251
375	151	250
376	151	250
377	151	249
378	151	248
379	152	248
380	152	247
381	152	246
382	152	246
383	153	245
384	153	244
385	153	244
386	153	243
387	154	243
388	154	242
389	154	241
390	155	242
391	155	241
392	156	241
393	156	240
394	156	239
395	156	239
396	157	238
397	157	238
398	157	237
399	157	236
400	158	236
401	158	235
402	158	235
403	158	234
404	159	233
405	159	233
406	159	232
407	159	232
408	160	231
409	160	230
410	160	230
411	160	229
412	161	229
413	161	228
414	161	227
415	161	227
416	162	226
417	162	226
418	162	225
419	162	225
420	163	224
421	163	223
422	163	223
423	164	222
424	164	222
425	164	221
426	164	221
427	165	220
428	165	220
429	165	219
430	165	218
431	166	218
432	166	217
433	166	217
434	166	216
435	167	216
436	167	215
437	167	215
438	167	214
439	168	213
440	168	213
441	168	212
442	168	212
443	169	211
444	169	211
445	169	210
446	169	210
447	170	209
448	170	209
449	170	208
450	170	208
451	171	207
452	171	207
453	171	206
454	171	205
455	172	205
456	172	204
457	172	204
458	172	203
459	173	203
460	173	202
461	173	202
462	173	201
463	174	201
464	174	200
465	174	200
466	174	199
467	175	199
468	175	198
469	175	197
470	175	197
471	176	196
472	176	196
473	176	195
474	176	195
475	177	194
476	177	194
477	177	193
478	177	193
479	178	192
480	178	192
481	178	191
482	178	191
483	179	190
484	179	190
485	179	189
486	179	189
487	180	188
488	180	188
489	180	188
490	180	187
491	181	187
492	181	186
493	181	186
494	181	185
495	182	185
496	182	184
497	182	184
498	182	183
499	183	183
500	183	182
501	183	182
502	183	181
503	184	181
504	184	180
505	184	180
506	184	179
507	185	179
508	185	178
509	185	178
510	185	177
511	186	177
512	186	177
513	186	176
514	186	176
515	187	175
516	187	175
517	187	174
518	187	174
519	188	173
520	188	173
521	188	172
522	189	172
523	189	172
524	189	171
525	189	171
526	190	170
527	190	170
528	190	169
529	190	169
530	191	168
531	191	168
532	191	167
533	191	167
534	192	166
535	192	166
536	192	165
537	192	165
538	193	165
539	193	164
540	193	164
541	193	163
542	193	163
543	194	162
544	194	162
545	194	161
546	195	161
547	195	161
548	195	160
549	195	160
550	196	159
551	196	159
552	196	158
553	196	158
554	197	157
555	197	157
556	197	157
557	197	156
558	197	156
559	198	155
560	198	155
561	198	154
562	198	154
563	199	154
564	199	153
565	199	153
566	199	152
567	200	152
568	200	151
569	200	151
570	201	151
571	201	150
572	201	150
573	201	149
574	202	149
575	202	148
576	202	148
577	202	148
578	203	147
579	203	147
580	203	146
581	203	146
582	204	146
583	204	145
584	204	145
585	204	144
586	205	144
587	205	143
588	205	143
589	205	143
590	206	142
591	206	142
592	206	141
593	207	141
594	207	141
595	207	140
596	207	140
597	207	139
598	208	139
599	208	138
600	208	138
601	208	138
602	209	137
603	209	137
604	209	136
605	210	136
606	210	136
607	210	135
608	210	135
609	210	134
610	211	134
611	211	134
612	211	133
613	211	133
614	212	132
615	212	132
616	212	132
617	212	131
618	213	131
619	213	130
620	213	130
621	213	130
622	214	129
623	214	129
624	214	128
625	214	128
626	215	127
627	215	127
628	215	127
629	215	126
630	215	126
631	216	125
632	216	125
633	216	125
634	216	124
635	217	124
636	217	123
637	217	123
638	217	123
639	218	122
640	218	122
641	218	121
642	218	121
643	219	121
644	219	120
645	219	120
646	220	120
647	220	119
648	220	119
649	220	118
650	221	118
651	221	118
652	221	117
653	221	117
654	222	116
655	222	116
656	222	116
657	222	115
658	223	115
659	223	115
660	223	114
661	223	114
662	224	113
663	224	113
664	224	113
665	224	112
666	225	112
667	225	112
668	225	111
669	226	111
670	226	110
671	226	110
672	226	110
673	227	109
674	227	109
675	227	109
676	227	108
677	228	108
678	228	107
679	228	107
680	228	107
681	228	106
682	229	106
683	229	106
684	229	105
685	229	105
686	230	104
687	230	104
688	230	104
689	230	103
690	231	103
691	231	103
692	231	102
693	232	102
694	232	101
695	232	101
696	232	101
697	233	100
698	233	100
699	233	100
700	233	99
701	234	99
702	234	99
703	234	98
704	235	98
705	235	97
706	235	97
707	235	97
708	236	96
709	236	96
710	236	96
711	236	95
712	237	95
713	237	95
714	237	94
715	237	94
716	238	93
717	238	93
718	238	93
719	238	92
720	238	92
721	239	92
722	239	91
723	239	91
724	239	90
725	240	90
726	240	90
727	240	89
728	240	89
729	241	89
730	241	88
731	241	88
732	241	88
733	242	87
734	242	87
735	242	87
736	242	86
737	243	86
738	243	85
739	243	85
740	243	85
741	243	84
742	244	84
743	244	84
744	244	83
745	244	83
746	245	83
747	245	82
748	245	82
749	245	81
750	246	81
751	246	81
752	246	80
753	246	80
754	247	80
755	247	79
756	247	79
757	247	79
758	248	78
759	248	78
760	248	78
761	248	77
762	249	77
763	249	77
764	249	76
765	249	76
766	250	75
767	250	75
768	250	75
769	250	74
770	251	74
771	251	74
772	251	73
773	251	73
774	252	73
775	252	72
776	252	72
777	252	72
778	253	71
779	253	71
780	253	71
781	253	70
782	254	70
783	254	70
784	254	69
785	254	69
786	255	69
787	255	68
788	255	68
789	255	68
790	256	67
791	256	67
792	256	67
793	256	66
794	257	66
795	257	65
796	257	65
797	257	65
798	258	64
799	258	64
800	258	64
801	259	63
802	259	63
803	259	63
804	259	62
805	260	62
806	260	62
807	260	61
808	260	61
809	261	61
810	261	60
811	261	60
812	261	60
813	262	59
814	262	59
815	262	59
816	262	58
817	263	58
818	263	58
819	263	57
820	263	57
821	263	57
822	264	56
823	264	56
824	264	56
825	264	55
826	265	55
827	265	55
828	265	54
829	265	54
830	266	54
831	266	53
832	266	53
833	266	53
834	267	52
835	267	52
836	267	52
837	267	51
838	268	51
839	268	51
840	268	50
841	268	50
842	269	50
843	269	49
844	269	49
845	269	49
846	270	48
847	270	48
848	270	48
849	270	47
850	271	47
851	271	47
852	271	46
853	271	46
854	272	46
855	272	45
856	272	45
857	272	45
858	273	44
859	273	44
860	273	44
861	273	43
862	274	43
863	274	43
864	274	42
865	275	42
866	275	42
867	275	41
868	275	41
869	275	41
870	276	40
871	276	40
872	276	40
873	277	39
874	277	39
875	277	39
876	277	38
877	278	38
878	278	38
879	278	37
880	278	37
881	279	37
882	279	37
883	279	36
884	279	36
885	280	36
886	280	35
887	280	35
888	281	35
889	281	34
890	281	34
891	281	34
892	282	33
893	282	33
894	282	33
895	282	32
896	283	32
897	283	32
898	283	31
899	283	31
900	284	31
901	284	30
902	284	30
903	284	30
904	285	29
905	285	29
906	285	29
907	285	28
908	286	28
909	286	28
910	286	27
911	286	27
912	287	27
913	287	27
914	287	26
915	287	26
916	288	26
917	288	25
918	288	25
919	288	25
920	289	24
921	289	24
922	289	24
923	289	23
924	290	23
925	290	23
926	290	22
927	290	22
928	291	22
929	291	21
930	291	21
931	292	21
932	292	20
933	292	20
934	292	20
935	292	20
936	293	19
937	293	19
938	293	19
939	294	18
940	294	18
941	294	18
942	294	17
943	295	17
944	295	17
945	295	16
946	295	16
947	296	16
948	296	15
949	296	15
950	296	15
951	297	14
952	297	14
953	297	14
954	297	14
955	298	13
956	298	13
957	298	13
958	298	12
959	299	12
960	299	12
961	299	11
962	300	11
963	300	11
964	300	10
965	300	10
966	301	10
967	301	9
968	301	9
969	301	9
970	301	9
971	302	8
972	302	8
973	302	8
974	302	7
975	303	7
976	303	7
977	303	6
978	303	6
979	304	6
980	304	5
981	304	5
982	304	5
983	304	4
984	305	4
985	305	4
986	305	4
987	305	3
988	306	3
989	306	3
990	306	2
991	306	2
992	307	2
993	307	1
994	307	1
995	307	1
996	308	0
997	308	0
998	308	0
999	308	0
